City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
304,Nicoya,CR,10.1483,-85.452,95.99,38,87,9.26,overcast clouds
305,Alta,NO,69.9689,23.2717,36.66,70,75,3.44,broken clouds
306,Nisia Floresta,BR,-6.0911,-35.2086,89.98,59,51,10.49,broken clouds
307,Qostanay,KZ,53.1667,63.5833,52.09,58,0,13.42,clear sky
308,Lulea,SE,65.5842,22.1547,39.27,56,0,2.3,clear sky
309,Eidfjord,NO,60.4675,7.0719,40.12,98,89,1.32,overcast clouds
310,Mogadishu,SO,2.0371,45.3438,82.58,75,63,13.2,broken clouds
311,Fecamp,FR,49.7579,0.3746,67.71,83,71,8.23,broken clouds
312,Beira,MZ,-19.8436,34.8389,82.49,89,20,10.36,few clouds
313,Sur,OM,22.5667,59.5289,90.18,36,26,9.04,scattered clouds
314,Gornopravdinsk,RU,60.05,69.9,48.24,83,100,9.06,overcast clouds
315,Maldonado,UY,-34.6667,-54.9167,67.39,60,91,7.07,overcast clouds
316,Tabat,ID,-2.635,115.2274,74.23,98,66,0.51,broken clouds
317,Lodja,CD,-3.4833,23.4333,69.66,100,100,1.9,light rain
318,Maiduguri,NG,11.8464,13.1603,95.05,24,100,2.15,overcast clouds
319,Awbari,LY,26.5921,12.7805,81.86,15,0,12.06,clear sky
320,Namibe,AO,-15.1961,12.1522,72.36,75,82,9.06,broken clouds
321,Asfi,MA,32.2994,-9.2372,69.33,61,1,26.24,clear sky
322,Sumbe,AO,-11.2061,13.8437,78.28,87,99,5.75,overcast clouds
323,Bria,CF,6.5423,21.9863,72.5,87,73,8.68,light rain
324,Lagos,NG,6.5833,3.75,86.32,76,42,5.99,light rain
325,Vestmannaeyjar,IS,63.4427,-20.2734,47.39,93,100,27.63,mist
326,Gobabis,NA,-22.45,18.9667,71.51,38,86,7.85,overcast clouds
327,Lima,PE,-12.0432,-77.0282,71.38,76,0,6.91,fog
328,Beyneu,KZ,45.3167,55.2,60.3,30,67,9.69,broken clouds
329,Nauta,PE,-4.5061,-73.5757,80.38,89,92,3.36,overcast clouds
330,Teguldet,RU,57.3064,88.1667,34.38,96,92,4.27,overcast clouds
331,Lisakovsk,KZ,52.5369,62.4936,51.33,61,50,10.96,scattered clouds
332,Cuamba,MZ,-14.8031,36.5372,72.77,83,16,2.75,few clouds
333,Viedma,AR,-40.8135,-62.9967,74.03,29,0,21.45,clear sky
334,Paducah,US,37.0834,-88.6001,66.29,43,0,8.05,clear sky
335,Carutapera,BR,-1.195,-46.02,79.83,88,100,7.38,light rain
336,Baran,IN,25.1,76.5167,89.42,11,19,6.38,few clouds
337,Gilgit,PK,35.9221,74.3087,64.17,36,0,5.06,clear sky
338,Richmond,US,37.5538,-77.4603,73.99,24,75,6.91,broken clouds
339,Aksarka,RU,66.5606,67.7975,16.57,91,99,5.95,overcast clouds
340,Salaga,GH,8.5508,-0.5188,92.26,40,91,9.57,overcast clouds
