City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
170,Zhigansk,66.7697,123.3711,3.33,83,60,11.52,RU,2022-04-06 04:09:14
171,Vanimo,-2.6741,141.3028,86.77,68,90,8.1,PG,2022-04-06 04:09:14
172,Luan,46.3592,6.9759,38.57,84,82,3.51,CH,2022-04-06 04:09:14
173,Sur,22.5667,59.5289,88.02,37,6,7.65,OM,2022-04-06 04:09:15
174,Cidreira,-30.1811,-50.2056,66.79,78,75,6.24,BR,2022-04-06 04:09:15
175,Banes,20.9625,-75.7186,76.87,83,3,7.92,CU,2022-04-06 04:09:16
176,Sisimiut,66.9395,-53.6735,25.14,96,99,3.69,GL,2022-04-06 04:09:17
177,Yaan,7.3833,8.5667,76.73,79,100,9.51,NG,2022-04-06 04:09:17
178,Havre-Saint-Pierre,50.2334,-63.5986,26.87,75,71,9.95,CA,2022-04-06 04:09:18
179,Great Falls,47.5002,-111.3008,37.85,39,20,23.02,US,2022-04-06 04:09:18
180,Coquimbo,-29.9533,-71.3436,53.33,100,100,2.3,CL,2022-04-06 04:09:19
181,San Cristobal,7.7669,-72.225,73.58,98,78,2.21,VE,2022-04-06 04:09:19
182,Dhamrai,23.9202,90.2109,87.78,44,59,9.48,BD,2022-04-06 04:09:20
183,Luwuk,-0.9516,122.7875,84.43,77,99,4.63,ID,2022-04-06 04:07:23
184,Sawtell,-30.3833,153.1,71.19,83,100,5.75,AU,2022-04-06 04:09:51
185,Morristown,36.214,-83.2949,59.38,79,100,12.66,US,2022-04-06 04:07:57
186,Batetskiy,58.6461,30.3027,25.92,88,67,8.41,RU,2022-04-06 04:09:51
187,Jambusar,22.05,72.8,91.35,26,55,7.31,IN,2022-04-06 04:09:52
188,Sibu,2.3,111.8167,82.8,79,100,3.47,MY,2022-04-06 04:09:53
189,Taoudenni,22.6783,-3.9836,77.31,24,1,14.32,ML,2022-04-06 04:09:53
190,Kosonsoy,41.2561,71.5508,61.36,24,23,4.07,UZ,2022-04-06 04:09:54
191,Cabedelo,-6.9811,-34.8339,75.87,84,63,7.56,BR,2022-04-06 04:06:14
192,Aklavik,68.2191,-135.0107,-1.64,94,80,6.58,CA,2022-04-06 04:09:54
193,Yellowknife,62.456,-114.3525,23.29,97,68,4.56,CA,2022-04-06 04:09:55
194,Keti Bandar,24.1447,67.4497,83.95,57,99,15.95,PK,2022-04-06 04:09:56
195,Labrea,-7.2586,-64.7981,73.69,96,18,0.38,BR,2022-04-06 04:09:56
196,Batagay-Alyta,67.8006,130.4114,5.74,85,71,4.27,RU,2022-04-06 04:09:57
197,Port Moresby,-9.4431,147.1797,81.97,69,93,4.99,PG,2022-04-06 04:09:57
198,Sao Felix Do Xingu,-6.6447,-51.995,71.35,96,96,0.94,BR,2022-04-06 04:09:58
199,Saint George,37.1041,-113.5841,64.44,24,0,16.11,US,2022-04-06 04:08:35
200,Rong Kwang,18.339,100.3174,97.14,31,58,1.32,TH,2022-04-06 04:09:59
201,Kupino,54.3663,77.2981,40.1,94,98,9.71,RU,2022-04-06 04:09:59
202,Torbay,47.6666,-52.7314,33.76,89,100,24.16,CA,2022-04-06 04:07:04
203,Corpus Christi,27.8006,-97.3964,76.01,91,100,16.11,US,2022-04-06 04:07:04
204,Buala,-8.145,159.5921,79.18,88,100,10.42,SB,2022-04-06 04:10:00
